,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"La machine","Aya Nakamura",316189,https://open.spotify.com/track/4YcK0u6DgSg1jQqWYCXTBq
145,"Build a Bitch","Bella Poarch",312374,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
146,"La vie du binks (feat. Hornet La Frappe, Leto, Sadek, Soprano)","DA Uzi",309009,https://open.spotify.com/track/4tJYqq9gYr0RATc1BpDkpy
147,"Roses - Imanbek Remix","SAINt JHN",308753,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
148,"Del Mar",Ozuna,308006,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
149,"Macaroni (feat. Ninho)",Leto,307594,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
150,"SUN GOES DOWN","Lil Nas X",306620,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
151,Bené,PNL,305880,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
152,"ZITTI E BUONI",Måneskin,305201,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
153,Galerie,Ziak,300497,https://open.spotify.com/track/2hsEYpnAtMH7CbZJajUU5C
154,J'fly,Bebew,299855,https://open.spotify.com/track/2kQRGDr8EMesjnUFDKGNF3
155,Fada,Soolking,299675,https://open.spotify.com/track/17tejn8Dt8IDKKRknPznPD
156,"Mais je t'aime","Grand Corps Malade",299263,https://open.spotify.com/track/2twcZTB1udOEzDCPpTiOju
157,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",297193,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
158,"Cœur noir",Eva,296741,https://open.spotify.com/track/0Z8DRG0HgZJ1bIhCQqyzPo
159,"Todo De Ti","Rauw Alejandro",296295,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
160,"À la fête",UZI,296056,https://open.spotify.com/track/5TyBXMmVCtAxpOMTCILl8C
161,Straightenin,Migos,294487,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
162,"Higher Power",Coldplay,293204,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
163,Dior,"Pop Smoke",293080,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
164,Blanche,Maes,293042,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
165,"Avant la douane",Jul,292586,https://open.spotify.com/track/3AwXhQWatI5b1sLIhsnOdP
166,"drivers license","Olivia Rodrigo",290353,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
167,éternel,Hatik,290154,https://open.spotify.com/track/6qA7BY2EsWb5QfUeFzyV7I
168,"Φ. THEVIE RADIO",Damso,288300,https://open.spotify.com/track/4URf8X1z0ZGaPemh0dKx2M
169,"Au DD",PNL,287710,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
170,"RATPI WORLD",Booba,286889,https://open.spotify.com/track/2ZjTAieewsBC24kPGfLagc
171,Avalanche,Migos,286629,https://open.spotify.com/track/4KD0lLJ4OGonZhBeKtct9I
172,Meleğim,Soolking,285791,https://open.spotify.com/track/0BD9boQC7jUTWkAoib4Z0d
173,"Ça va bien se passer",Nahir,283013,https://open.spotify.com/track/1orYQKuCNZ1gY06KJ4FhcB
174,"Me Gusta",DTF,281609,https://open.spotify.com/track/6P3FBaZfUjeWYExU2ShaPZ
175,Crack,SCH,281377,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
176,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",280292,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
177,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,279529,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
178,Baianá,Bakermat,279435,https://open.spotify.com/track/780be5fB7823aHG06mwTat
179,"Bled (feat. Moha K)","DJ Kayz",279368,https://open.spotify.com/track/6AkipT8R573MOlOowv1l7L
180,"Ne reviens pas",Gradur,278514,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
181,"Seven Nation Army (feat. KOYSINA)",DMNDS,278112,https://open.spotify.com/track/2fzqpmKuYcNQS7clW1XxAS
182,Onizuka,PNL,278061,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by
183,Italia,Jul,277776,https://open.spotify.com/track/11Mq1tJwmFOig3BXxjqcQr
184,"Le billet",ISK,277735,https://open.spotify.com/track/731JjfIII1qYfeatc3zhtU
185,"Another Love","Tom Odell",275938,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
186,"No blata",OBOY,275929,https://open.spotify.com/track/2oAmXX6Vp4c0cHxxiU4t4f
187,"Djomb - Bien ou quoi",Bosh,273443,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
188,"Θ. Macarena",Damso,273356,https://open.spotify.com/track/2ewjMyCbNv2X1dB2qIDCwD
189,JCVD,Jul,272707,https://open.spotify.com/track/10iesoGb4mCYTcur1QfdO9
190,Voilà,"Barbara Pravi",271466,https://open.spotify.com/track/1uAOCTevGnyKIDbgZdOCnE
191,"Je veux",Kamikaz,271066,https://open.spotify.com/track/2FHsE83xbrzzWusudCFpg1
192,"Trop beau",Lomepal,270900,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
193,"Jerusalema (feat. Nomcebo Zikode)","Master KG",270712,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
194,"Jolie nana","Aya Nakamura",270234,https://open.spotify.com/track/65RWVU6N81CeH65nu52K1U
195,"So Maness","Soso Maness",267901,https://open.spotify.com/track/5kQ5tKaEs3RHlaLqwjagly
196,"Dieu merci",Dadju,267852,https://open.spotify.com/track/1HDqaIxeJ70BTHgZWEuaeT
197,Evidemment,"Kendji Girac",267717,https://open.spotify.com/track/2W4pIy8ThH4ib8fOGxcLjX
198,"Lost Cause","Billie Eilish",267687,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
199,"J't'emmène au vent","Louise Attaque",267450,https://open.spotify.com/track/0Wr98MVkENZXddiLB3bPb0
200,"3x filtré","Soso Maness",266991,https://open.spotify.com/track/6FPTqFGhgWVtHjsQb4RoKA
