,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
188,Lying,"Lil Baby",1481386,https://open.spotify.com/track/5LtzwqIWPXKEYfVcaY3bjc
189,"The Hills","The Weeknd",1469079,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
190,"You Should Probably Leave","Chris Stapleton",1468049,https://open.spotify.com/track/2UikqkwBv7aIvlixeVXHWt
191,505,"Arctic Monkeys",1467442,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
192,BOP,DaBaby,1460984,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
193,"Body Like A Back Road","Sam Hunt",1459934,https://open.spotify.com/track/7FpBQ067pHB67deawpbbcY
194,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",1450759,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
195,"Wait a Minute!",WILLOW,1447912,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
196,"Cover Me Up","Morgan Wallen",1447884,https://open.spotify.com/track/0mKnuxVkPi5h0kuvZl44VM
197,Congratulations,"Post Malone",1445357,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
198,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",1444963,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
199,Run,OneRepublic,1443570,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
200,"Richer (feat. Polo G)","Rod Wave",1439346,https://open.spotify.com/track/7HsjuVBM93Z2RoxjpWLgTT
